gen,best_robust,best_mean,best_maximin,best_worst,holdout_robust,holdout_maximin,n_opponents,games_simulated,games_predicted,elapsed_s
0,0.3515,0.5727,0.0,"('028_unknown__w1.00', 0.0)",0.4063,0.0,59,610,0,135.0
1,0.2665,0.7631,0.1667,"('pilot_abomasnow', 0.167)",0.52,0.1667,60,990,240,244.0
2,0.2945,0.7865,0.1667,"('052_kyogre__w1.00', 0.167)",0.5305,0.1667,61,1341,519,370.1
3,0.2628,0.4773,0.0,"('058_alakazam__w1.00', 0.0)",0.3536,0.0,62,1609,891,485.7
4,0.2284,0.7637,0.2043,"('pilot_abomasnow', 0.204)",0.435,0.0,63,1907,1243,635.8
5,0.2163,0.4879,0.0278,"('028_unknown__w1.00', 0.028)",0.2705,0.0,64,2165,1645,786.5
6,0.2436,0.7869,0.2431,"('pilot_abomasnow', 0.243)",0.4899,0.1667,65,2390,2090,936.3
7,0.2252,0.7698,0.2031,"('pilot_abomasnow', 0.203)",0.4939,0.1667,66,2637,2523,1117.8
8,0.2507,0.7751,0.2502,"('pilot_abomasnow', 0.25)",0.5383,0.1667,67,2870,2980,1308.4
9,0.2447,0.776,0.1956,"('pilot_abomasnow', 0.196)",0.5692,0.2,68,3096,3454,1508.8
10,0.2687,0.7809,0.1667,"('a2_kyogre', 0.167)",0.5773,0.1667,69,3367,3893,1772.7
11,0.3219,0.7779,0.247,"('pilot_abomasnow', 0.247)",0.4675,0.1667,70,3593,4387,2009.3
